,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
2019-01-01 00:00:00,0,3117.85,0,220.15,8312.8,4597.28,4792.75,0,0,1656.21,11048.2,167.95,0,12059.73,1111.0,3410.12,71197.48,0,15914.06,0,0,73552.13,0,0,0,2052.36,1998.18,0,19678.03,33932.81,79.09,1882.34,14043.09,0,0,0,0
2019-01-01 01:00:00,0,3079.54,0,204.51,7876.77,4156.28,4494.01,0,0,1538.39,10191.63,155.73,0,11426.45,1022.49,3373.45,69229.52,0,14749.01,0,0,71162.85,0,0,0,1912.22,1861.39,0,18737.64,33358.81,79.23,1762.3,13204.21,0,0,0,0
2019-01-01 02:00:00,0,3054.19,0,189.33,7573.71,3779.69,4222.47,0,0,1454.11,9385.01,140.6,0,11149.27,938.33,3291.12,67555.74,0,13977.58,0,0,69149.49,0,0,0,1824.7,1745.45,0,17954.88,32984.19,79.35,1658.14,12844.08,0,0,0,0
2019-01-01 03:00:00,0,3073.73,0,179.95,7459.18,3520.82,4021.51,0,0,1376.33,8868.54,135.14,0,11163.74,906.78,3300.42,66583.87,0,13664.42,0,0,68532.28,0,0,0,1769.21,1669.11,0,17335.3,32770.17,79.91,1579.85,12721.2,0,0,0,0
2019-01-01 04:00:00,0,3134.21,0,181.27,7411.41,3409.11,3941.42,0,0,1339.77,8714.26,137.71,0,11238.06,906.21,3395.58,66936.26,0,13894.63,0,0,68667.61,0,0,0,1751.5,1619.27,0,17382.13,32895.25,81.02,1550.48,13070.68,0,0,0,0
2019-01-01 05:00:00,0,3204.55,0,188.24,7507.47,3437.6,4018.01,0,0,1352.48,8760.04,144.48,0,11357.18,929.2,3543.79,68653.38,0,14324.5,0,0,69708.34,0,0,0,1802.34,1588.4,0,17792.42,33545.73,83.04,1574.85,13682.41,0,0,0,0
2019-01-01 06:00:00,0,3274.86,0,196.61,7841.46,3590.72,4166.05,0,0,1390.03,9069.83,150.07,0,11548.87,959.03,3652.65,70664.27,0,14794.69,0,0,71087.31,0,0,0,1877.48,1610.02,0,18254.02,34463.81,85.23,1629.91,14356.35,0,0,0,0
2019-01-01 07:00:00,0,3338.07,0,205.03,8237.72,3801.1,4372.82,0,0,1435.64,9460.28,153.59,0,11812.9,990.19,3756.68,72701.27,0,15360.12,0,0,72660.0,0,0,0,1939.87,1637.37,0,18816.71,35331.75,87.94,1688.54,15050.15,0,0,0,0
2019-01-01 08:00:00,0,3387.69,0,224.85,8727.29,4279.18,4629.6,0,0,1585.17,10349.69,161.32,0,12366.2,1078.65,3859.3,74833.18,0,16068.93,0,0,75421.67,0,0,0,2084.82,1723.49,0,19487.71,36096.91,90.19,1827.6,15835.84,0,0,0,0
2019-01-01 09:00:00,0,3451.08,0,252.08,9170.17,4767.67,4922.88,0,0,1721.43,11642.06,173.56,0,13103.59,1151.23,3979.91,78490.55,0,17091.15,0,0,79829.56,0,0,0,2195.29,1903.95,0,20530.33,37032.11,92.04,1999.31,17182.18,0,0,0,0
2019-01-01 10:00:00,0,3514.03,0,263.62,9481.73,5211.76,5240.27,0,0,1892.06,12813.34,180.69,0,13387.99,1173.36,4062.3,81729.76,0,18391.24,0,0,83121.71,0,0,0,2279.14,2002.13,0,21275.48,38242.74,93.84,2184.1,17813.33,0,0,0,0
2019-01-01 11:00:00,0,3541.95,0,281.06,9747.73,5540.48,5440.75,0,0,1965.73,13992.64,184.37,0,13581.83,1198.81,4146.08,82967.46,0,18752.68,0,0,85367.01,0,0,0,2361.55,2105.38,0,21670.38,38642.67,95.47,2320.14,17870.6,0,0,0,0
2019-01-01 12:00:00,0,3540.87,0,297.06,10023.06,5833.44,5538.24,0,0,2052.16,14978.94,189.1,0,13969.84,1256.05,4267.04,83311.74,0,18718.12,0,0,86416.71,0,0,0,2445.2,2241.71,0,21985.44,38464.8,96.23,2459.66,17713.69,0,0,0,0
2019-01-01 13:00:00,0,3512.17,0,306.91,10133.52,6138.17,5650.4,0,0,2141.94,15736.11,193.63,0,14127.09,1315.46,4314.55,83040.44,0,18939.44,0,0,86574.63,0,0,0,2559.09,2351.83,0,22133.93,37935.43,95.61,2574.39,17512.75,0,0,0,0
2019-01-01 14:00:00,0,3478.07,0,313.74,10129.08,6364.52,5728.5,0,0,2221.0,16266.59,201.38,0,14060.46,1364.91,4355.68,82704.19,0,19194.75,0,0,86594.62,0,0,0,2620.27,2392.51,0,22353.36,37303.6,94.63,2641.99,17400.11,0,0,0,0
2019-01-01 15:00:00,0,3434.48,0,317.93,10157.8,6530.74,5806.64,0,0,2269.92,16568.58,208.72,0,14241.0,1412.14,4325.81,82355.47,0,19462.16,0,0,86919.61,0,0,0,2635.86,2409.24,0,22554.02,36611.9,92.98,2705.24,17397.75,0,0,0,0
2019-01-01 16:00:00,0,3393.67,0,315.83,10123.07,6636.74,5814.66,0,0,2314.56,16457.36,212.59,0,14961.35,1442.32,4265.84,81953.03,0,19754.62,0,0,87698.61,0,0,0,2600.41,2362.13,0,22571.29,35789.06,91.05,2703.89,17488.63,0,0,0,0
2019-01-01 17:00:00,0,3362.72,0,302.93,10199.27,6598.2,5816.21,0,0,2319.29,16171.37,211.27,0,15670.73,1427.5,4203.14,81013.67,0,20218.89,0,0,89434.45,0,0,0,2558.21,2345.58,0,22193.98,35051.99,89.61,2665.59,17498.3,0,0,0,0
2019-01-01 18:00:00,0,3339.15,0,272.02,10467.56,6151.32,5866.33,0,0,2218.41,15432.99,205.94,0,16333.1,1388.74,4195.0,80252.78,0,20796.63,0,0,90553.11,0,0,0,2535.82,2401.54,0,21624.49,34457.72,88.14,2472.78,17672.49,0,0,0,0
2019-01-01 19:00:00,0,3610.77,0,342.81,12003.78,6915.81,6975.1,0,0,2404.18,16710.91,255.7,0,17978.65,1633.85,4414.96,85479.8,0,21979.31,0,0,99185.38,0,0,0,2791.72,2673.23,0,24631.23,37555.58,101.68,2922.82,18151.45,0,0,0,0
2019-01-01 20:00:00,0,3652.31,0,329.01,11972.89,6648.13,6703.61,0,0,2229.77,15496.74,244.4,0,17206.1,1534.26,4299.06,85163.43,0,21376.14,0,0,96261.35,0,0,0,2746.91,2567.71,0,24892.21,38281.01,100.56,2733.22,18668.9,0,0,0,0
2019-01-01 21:00:00,0,3685.35,0,312.09,11763.55,6234.23,6417.52,0,0,2071.33,14450.67,233.77,0,16409.72,1439.12,4180.58,84247.51,0,20684.59,0,0,93243.8,0,0,0,2687.72,2449.42,0,24777.65,38576.11,99.49,2541.14,18926.67,0,0,0,0
