,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FMPP,FPL,GVL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYIS,NWMT,OVEC,PJM,AEC,PNM,SEC,SCEG,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NBSO,ERCO
0,0,579.713,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,750.1984000000011,0.0,0.0,20400.35509999999,0,1658.8501,0,0,6126.847299999993,0,0,0,0.0,0.0,0,0.0,19157.2671,421.354,0.0,11.556,0,0,0,0
1,0,579.713,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,856.4644,0.0,0.0,20280.218799999995,0,1594.2461999999998,0,0,5784.389899999992,0,0,0,0.0,0.0,0,0.0,19117.290600000008,421.354,0.0,11.9034,0,0,0,0
2,0,579.713,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,886.2478999999997,0.0,0.0,19717.14489999998,0,1646.9901999999995,0,0,5895.7633999999925,0,0,0,0.0,0.0,0,0.0,19030.4379,421.354,0.0,11.097,0,0,0,0
3,0,579.713,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,918.6502999999996,0.0,0.0,19193.38629999999,0,1638.4217999999996,0,0,5933.824699999994,0,0,0,0.0,0.0,0,0.0,18934.47750000001,421.354,0.0,12.4254,0,0,0,0
4,0,579.588,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,939.8151000000006,0.0,0.0,18753.213499999987,0,1615.9151999999997,0,0,5991.469199999992,0,0,0,0.0,0.0,0,0.0,18843.6288,421.354,0.0,16.034399999999998,0,0,0,0
5,0,579.4496,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,962.5996999999992,0.0,0.0,18522.489299999987,0,1646.8802999999998,0,0,5861.820199999992,0,0,0,0.0,0.0,0,0.0,18472.074199999995,421.653,0.0,14.7636,0,0,0,0
6,0,572.7258,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1011.9407000000008,0.0,0.0,18355.65500000001,0,1631.7244999999996,0,0,5747.788099999997,0,0,0,0.0,0.0,0,0.0,18027.44660000001,421.653,0.0,13.8132,0,0,0,0
7,0,562.8396,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1067.4207999999994,0.0,0.0,18215.855300000003,0,1560.4651,0,0,5526.94,0,0,0,0.0,0.0,0,0.0,17441.072099999998,421.154,0.0,13.2354,0,0,0,0
8,0,543.4996,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,928.3700999999996,0.0,0.0,17339.704900000022,0,1552.3828999999996,0,0,5189.513799999997,0,0,0,0.0,0.0,0,0.0,16629.441199999994,420.455,0.0,6.9768,0,0,0,0
9,0,506.8991,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,840.8362999999994,0.0,0.0,16265.325299999997,0,1627.9873999999998,0,0,4792.377999999999,0,0,0,0.0,0.0,0,0.0,15573.586099999991,415.364,0.0,3.0006,0,0,0,0
10,0,451.7514,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,890.7991999999995,0.0,0.0,15244.174599999997,0,1605.3092000000004,0,0,4495.3777,0,0,0,0.0,0.0,0,0.0,14390.474100000003,403.081,0.0,1.0115999999999998,0,0,0,0
11,0,406.42500000000007,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,672.9726999999995,0.0,0.0,13167.196900000004,0,1549.7738000000002,0,0,3949.981999999998,0,0,0,0.0,0.0,0,0.0,12621.184400000006,372.036,0.0,0.5706,0,0,0,0
12,0,352.1874,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,892.9366999999994,0.0,0.0,10743.821100000006,0,1471.9484999999995,0,0,3440.769400000001,0,0,0,0.0,0.0,0,0.0,10652.501599999996,336.492,0.0,0.153,0,0,0,0
13,0,297.8431,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1011.3628999999996,0.0,0.0,8441.720500000003,0,1360.7303999999997,0,0,2883.530999999999,0,0,0,0.0,0.0,0,0.0,8662.203999999998,291.677,0.0,0.0558,0,0,0,0
14,0,217.7303,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1014.3449999999992,0.0,0.0,6918.988400000001,0,1210.9396000000002,0,0,2671.9291,0,0,0,0.0,0.0,0,0.0,7084.146900000006,243.177,0.0,0.0558,0,0,0,0
15,0,155.2049,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1092.0620999999994,0.0,0.0,5848.845600000001,0,1085.0366,0,0,2469.510499999999,0,0,0,0.0,0.0,0,0.0,5799.359200000003,196.679,0.0,0.0558,0,0,0,0
