fromba,toba,max
CPLE,SCEG,166.0
FPL,SOCO,1575.0
FPL,JEA,1241.0
FPL,HST,126.0
FPL,FPC,2061.0
FPL,FMPP,880.0
JEA,SEC,22445.0
JEA,FPL,53814.0
FMPP,FPC,1334.0
FMPP,TEC,196.0
NSB,FPC,15.0
CPLE,DUK,3152.0
FPL,TEC,599.0
FPL,NSB,95.0
JEA,FMPP,65517.0
SCEG,SOCO,140.0
SCEG,SC,1449.0
SCEG,DUK,605.0
SEC,JEA,9999.0
SEC,FPL,123227.0
SEC,FPC,11279.0
CPLE,PJM,2141.0
SCEG,CPLE,403.0
ISNE,NYIS,1543.0
SEC,TEC,3247.0
TVA,LGEE,986.0
AECI,TVA,406.0
CPLE,SC,1135.0
AEC,MISO,327.0
TEC,FPC,782.0
AEC,SOCO,526.0
PJM,NYIS,4871.0
LGEE,MISO,1387.0
SOCO,TVA,2940.0
TVA,AECI,40.0
SOCO,FPC,692.0
SOCO,DUK,781.0
SPA,SWPP,706.0
SOCO,MISO,1646.0
SC,DUK,1106.0
SC,CPLE,629.0
SOCO,TAL,294.0
SOCO,FPL,2622.0
SOCO,AEC,496.0
SPA,AECI,1004.0
MISO,SWPP,5349.0
MISO,AECI,2282.0
FPC,SEC,302.0
SPA,MISO,742.0
SC,SCEG,412.0
AECI,MISO,1471.0
TAL,FPC,247.0
TEC,FMPP,758.0
FMPP,JEA,76.0
AECI,SWPP,1088.0
SWPP,AECI,1451.0
FPC,FMPP,153.0
FPC,TAL,52.0
NYIS,PJM,853.0
NYIS,ISNE,1900.0
SWPP,MISO,3547.0
SWPP,SPA,398.0
MISO,SOCO,652.0
TVA,SOCO,3084.0
TVA,PJM,5491.0
TVA,MISO,3567.0
TVA,DUK,458.0
MISO,SPA,162.0
TEC,FPL,1107.0
MISO,LGEE,1372.0
MISO,AEC,178.0
FPC,TEC,1512.0
FPC,NSB,67.0
TEC,SEC,532.0
SC,SOCO,467.0
HST,FPL,0.0
PJM,LGEE,2260.0
MISO,TVA,5863.0
MISO,PJM,944.0
FPC,SOCO,219.0
FPC,FPL,324.0
PJM,CPLE,9149.0
FMPP,FPL,272.0
LGEE,TVA,431.0
AECI,SPA,363.0
DUK,TVA,245.0
DUK,SOCO,2124.0
DUK,SC,226.0
DUK,PJM,1400.0
PJM,MISO,20452.0
TAL,SOCO,66.0
LGEE,PJM,1337.0
DUK,SCEG,408.0
NSB,FPL,17.0
DUK,CPLE,2879.0
PJM,TVA,4029.0
PJM,DUK,2796.0
