fromba,toba,max
PACW,PGE,1247.0
SWPP,AECI,1451.0
PGE,PACW,384.0
PGE,BPAT,0.0
TEPC,EPE,749.0
CISO,NEVP,480.0
FPC,FMPP,153.0
FPC,TAL,52.0
SWPP,EPE,187.0
FPC,GVL,111.0
IPCO,AVA,309.0
AZPS,WALC,26251.0
AZPS,PNM,876.0
AZPS,CISO,2154.0
CAR,SE,2536.0
NYIS,PJM,853.0
NYIS,ISNE,1900.0
NYIS,IESO,806.0
IPCO,PACE,1097.0
NYIS,HQT,1101.0
SWPP,ERCO,850.0
SWPP,PNM,196.0
CPLW,DUK,439.0
TEPC,SRP,1199.0
CAR,TEN,330.0
CENT,TEX,850.0
PNM,GRID,8.0
MIDW,TEN,6096.0
TEX,CENT,834.0
TEN,MIDW,3417.0
SWPP,MISO,3547.0
MIDA,TEN,4029.0
IID,CISO,770.0
US48,MEX,793.0
US48,CAN,2768.0
SWPP,WAUW,361.0
SWPP,WACM,512.0
SWPP,SPC,392.0
SWPP,SPA,398.0
SWPP,PSCO,215.0
IID,AZPS,612.0
PACW,PACE,1395.0
ISNE,HQT,970.0
MISO,SOCO,652.0
EEI,LGEE,328.0
GCPD,PACW,380.0
GCPD,BPAT,1406.0
TVA,SOCO,3084.0
TVA,PJM,5491.0
TVA,MISO,3567.0
EPE,TEPC,751.0
TVA,DUK,458.0
TVA,CPLW,113.0
SRP,WALC,490.0
SRP,TEPC,1539.0
SRP,HGMA,16.0
SRP,DEAA,8.0
SRP,CISO,2615.0
SRP,AZPS,5500.0
TVA,EEI,282.0
MISO,SPA,162.0
TEC,FPL,1107.0
WAUW,WACM,241.0
MISO,LGEE,1372.0
MISO,IESO,1067.0
MISO,AEC,178.0
FPC,TEC,1512.0
FPC,NSB,67.0
IPCO,PACW,1669.0
IPCO,BPAT,291.0
AZPS,SRP,10667.0
TEC,SEC,532.0
AZPS,IID,80.0
CISO,SRP,1189.0
CISO,IID,227.0
SW,NW,1388.0
SW,CAL,8194.0
MIDA,NY,4871.0
SC,SOCO,467.0
CISO,CEN,605.0
NE,NY,1543.0
CAL,NW,4792.0
IPCO,NEVP,456.0
TEN,SE,3084.0
AZPS,LDWP,1452.0
CISO,TIDC,728.0
PSCO,PNM,194.0
HST,FPL,0.0
WACM,WAUW,136.0
WACM,PNM,601.0
CISO,BPAT,2187.0
CISO,BANC,2064.0
AZPS,TEPC,682.0
CPLW,TVA,137.0
PJM,LGEE,2260.0
MISO,TVA,5863.0
MISO,PJM,944.0
MISO,EEI,248.0
FPC,SOCO,219.0
FPC,FPL,324.0
IPCO,NWMT,2.0
AZPS,WACM,347.0
AZPS,PACE,697.0
AVA,PACW,352.0
AVA,NWMT,257.0
AVA,GCPD,315.0
AVA,CHPD,59.0
PNM,TEPC,752.0
PNM,EPE,822.0
CAR,MIDA,2515.0
PNM,AZPS,959.0
LGEE,EEI,0.0
PJM,CPLE,9149.0
CAL,SW,2168.0
WACM,SWPP,326.0
WACM,PSCO,6289.0
WACM,AZPS,781.0
MIDW,SE,652.0
FMPP,FPL,272.0
LGEE,TVA,431.0
AECI,SPA,363.0
PNM,WACM,866.0
PNM,SWPP,202.0
PNM,PSCO,1.0
DUK,TVA,245.0
DUK,SOCO,2124.0
DUK,SC,226.0
DUK,PJM,1400.0
PJM,MISO,20452.0
TAL,SOCO,66.0
DUK,YAD,66.0
LGEE,PJM,1337.0
DUK,SCEG,408.0
DUK,SEPA,292.0
NSB,FPL,17.0
NW,CAN,2719.0
DUK,CPLW,521.0
NW,CAL,8654.0
WALC,WACM,126.0
WALC,TEPC,410.0
WALC,SRP,1096.0
WALC,NEVP,1455.0
WALC,LDWP,2452.0
WALC,IID,130.0
WALC,GRIF,8.0
DUK,CPLE,2879.0
WALC,AZPS,220.0
PJM,TVA,4029.0
PJM,DUK,2796.0
SEPA,SCEG,118.0
SEPA,SC,601.0
WALC,CISO,860.0
YAD,CPLE,150.0
YAD,DUK,283.0
PACW,AVRN,266.0
AVRN,PACW,1091.0
GRID,PNM,497.0
SRP,GRID,6.0
GRID,SRP,746.0
GRID,WALC,537.0
WALC,GRID,0.0
