fromba,toba,max
FPL,GVL,171.0
FLA,SE,1486.0
HGMA,SRP,1008.0
LDWP,WALC,617.0
LDWP,BPAT,937.0
BPAT,SCL,1650.0
BPAT,PSEI,3936.0
BPAT,GRID,1713.0
BPAT,AVA,1692.0
CPLE,SCEG,166.0
SE,FLA,3129.0
SCL,PSEI,283.0
SCL,BPAT,574.0
NEVP,LDWP,480.0
FPL,SOCO,1575.0
FPL,SEC,2465.0
FPL,JEA,1241.0
FPL,HST,126.0
FPL,FPC,2061.0
FPL,FMPP,880.0
JEA,SEC,22445.0
JEA,FPL,53814.0
BANC,TIDC,2201770.0
BANC,BPAT,1431.0
CHPD,DOPD,603.0
CISO,WALC,639.0
FMPP,FPC,1334.0
CISO,PACW,46.0
FMPP,TEC,196.0
MIDW,MIDA,1444.0
TEPC,PNM,594.0
NSB,FPC,15.0
LDWP,CISO,4276.0
BPAT,TPWR,739.0
BPAT,NWMT,957.0
BPAT,IPCO,218.0
BPAT,CISO,3496.0
BPAT,AVRN,17.0
CPLE,YAD,104.0
CPLE,DUK,3152.0
SE,MIDW,1786.0
NEVP,PACE,441.0
NEVP,BPAT,185.0
FPL,TEC,599.0
FPL,NSB,95.0
JEA,FMPP,65517.0
BANC,CISO,3391.0
CHPD,PSEI,310.0
SCEG,SOCO,140.0
SCEG,SC,1449.0
SCEG,DUK,605.0
ISNE,NBSO,695.0
CENT,NW,886.0
CENT,MIDW,4876.0
PSEI,TPWR,114.0
MIDW,CENT,4593.0
PSEI,SCL,357.0
BPAT,CHPD,245.0
PSEI,CHPD,344.0
SEC,JEA,9999.0
SEC,FPL,123227.0
SEC,FPC,11279.0
NWMT,WWA,11.0
NWMT,WAUW,373.0
NWMT,IPCO,41.0
NWMT,GWA,7.0
NWMT,AVA,275.0
NWMT,AESO,308.0
LDWP,NEVP,3609.0
BPAT,PACW,3242.0
BPAT,LDWP,3152.0
BPAT,DOPD,446.0
BPAT,BANC,2183.0
CPLE,PJM,2141.0
NEVP,WALC,1121.0
PSEI,GCPD,350.0
SCEG,SEPA,109.0
SCEG,CPLE,403.0
ISNE,NYIS,1543.0
CISO,AZPS,476.0
CISO,LDWP,2224.0
CAL,MEX,605.0
SW,CENT,202.0
TEPC,WALC,87.0
SEC,TEC,3247.0
CENT,CAN,392.0
NEVP,CISO,1799.0
CHPD,AVA,39.0
CENT,SW,327.0
PSEI,BPAT,0.0
PSCO,WACM,1232.0
PSCO,SWPP,212.0
AVA,IPCO,332.0
WACM,WALC,650.0
WACM,PACE,1630.0
TVA,LGEE,986.0
AECI,TVA,406.0
TPWR,PSEI,114.0
TPWR,BPAT,244.0
TIDC,CISO,384.0
TIDC,BANC,690.0
AVA,BPAT,544.0
NWMT,BPAT,1878.0
NWMT,PACE,592.0
NEVP,IPCO,323.0
SE,CAR,2937.0
CHPD,BPAT,1436.0
BPAT,BCHA,2523.0
BPAT,GCPD,543.0
CPLE,SC,1135.0
BPAT,PGE,3641.0
LDWP,AZPS,212.0
LDWP,PACE,1051.0
BPAT,NEVP,251.0
WAUW,SWPP,154.0
AEC,MISO,327.0
TEC,FPC,782.0
EPE,SWPP,99.0
AEC,SOCO,526.0
EEI,TVA,456.0
GCPD,AVA,173.0
PJM,NYIS,4871.0
DEAA,SRP,583.0
LGEE,MISO,1387.0
DOPD,CHPD,2214.0
DOPD,BPAT,2810.0
AVRN,BPAT,1084398.0
IID,WALC,334.0
GRID,BPAT,2118.0
SOCO,TVA,2940.0
SE,TEN,2940.0
PJM,CPLW,321.0
GRIF,WALC,573.0
SEPA,DUK,418.0
ERCO,SWPP,834.0
SOCO,SC,1225.0
PACW,CISO,62.0
PACW,BPAT,437.0
PACW,AVA,407.0
PACE,WACM,908.0
PACE,NEVP,726.0
PACE,LDWP,642.0
SEPA,SOCO,984.0
ERCO,CEN,421.0
NW,SW,2944.0
TVA,AECI,40.0
SOCO,SEPA,82.0
SOCO,SCEG,1486.0
SOCO,FPC,692.0
SOCO,DUK,781.0
SPA,SWPP,706.0
MIDA,MIDW,21903.0
MIDA,CAR,9307.0
NW,CENT,662.0
SOCO,MISO,1646.0
CPLW,PJM,216.0
NE,CAN,1350.0
GCPD,PSEI,26.0
SC,DUK,1106.0
SC,CPLE,629.0
NY,CAN,1347.0
SOCO,TAL,294.0
SOCO,FPL,2622.0
SOCO,AEC,496.0
SPA,AECI,1004.0
EEI,MISO,965.0
PACE,PACW,0.0
PACE,IPCO,2545.0
PACE,AZPS,905.0
TEPC,AZPS,289.0
MISO,SWPP,5349.0
MISO,MHEB,1422.0
MISO,AECI,2282.0
FPC,SEC,302.0
PACW,GCPD,124.0
PACE,NWMT,599.0
SPA,MISO,742.0
EPE,PNM,254.0
WAUW,NWMT,212.0
TEX,MEX,421.0
NY,MIDA,853.0
SC,SEPA,421.0
SC,SCEG,412.0
GVL,FPL,73.0
GVL,FPC,134.0
AECI,MISO,1471.0
TAL,FPC,247.0
TEC,FMPP,758.0
TEN,MIDA,5491.0
NY,NE,1900.0
MIDW,CAN,1451.0
FMPP,JEA,76.0
GWA,NWMT,220.0
AECI,SWPP,1088.0
WWA,NWMT,189.0
TEN,CAR,563.0
PACW,IPCO,1193.0
