BA_to_BA,Limit_MW
AZPS_CISO,2113
AZPS_IID,91
AZPS_LDWP,1603
AZPS_PACE,538
AZPS_PNM,876
AZPS_SRP,2525
AZPS_TEPC,896
AZPS_WACM,326
AZPS_WALC,2907
AVA_BPAT,294
AVA_CHPD,67
AVA_GCPD,113
AVA_IPCO,326
AVA_NWMT,257
AVA_PACW,233
BANC_BPAT,1011
BANC_CISO,3391
BANC_TIDC,2233
BPAT_AVA,1684
BPAT_BANC,2333
BPAT_CHPD,250
BPAT_CISO,3325
BPAT_DOPD,446
BPAT_GCPD,611
BPAT_IPCO,218
BPAT_LDWP,3138
BPAT_NEVP,276
BPAT_NWMT,957
BPAT_PACW,3223
BPAT_PGE,3011
BPAT_PSEI,3850
BPAT_SCL,1498
BPAT_TPWR,739
CHPD_AVA,36
CHPD_BPAT,1710
CHPD_DOPD,367
CHPD_PSEI,329
CISO_AZPS,469
CISO_BANC,1210
CISO_BPAT,1838
CISO_IID,320
CISO_LDWP,1088
CISO_NEVP,704
CISO_PACW,39
CISO_SRP,709
CISO_TIDC,683
CISO_WALC,319
DOPD_BPAT,6982
DOPD_CHPD,2737
EPE_PNM,223
EPE_TEPC,511
GCPD_AVA,133
GCPD_BPAT,7316
GCPD_PACW,482
GCPD_PSEI,35
IID_AZPS,626
IID_CISO,504
IID_WALC,861
IPCO_AVA,309
IPCO_BPAT,291
IPCO_NEVP,416
IPCO_NWMT,0
IPCO_PACE,1085
IPCO_PACW,1721
LDWP_AZPS,248
LDWP_BPAT,929
LDWP_CISO,4734
LDWP_NEVP,1915
LDWP_PACE,835
LDWP_WALC,617
NEVP_BPAT,178
NEVP_CISO,1660
NEVP_IPCO,276
NEVP_LDWP,566
NEVP_PACE,441
NEVP_WALC,1211
NWMT_AVA,211
NWMT_BPAT,1854
NWMT_IPCO,75
NWMT_PACE,645
NWMT_WAUW,325
PACE_AZPS,964
PACE_IPCO,2545
PACE_LDWP,659
PACE_NEVP,696
PACE_NWMT,491
PACE_PACW,42
PACE_WACM,717
PACW_AVA,262
PACW_BPAT,502
PACW_CISO,137
PACW_GCPD,127
PACW_IPCO,1341
PACW_PACE,3079
PACW_PGE,1247
PGE_BPAT,0
PGE_PACW,376
PNM_AZPS,549
PNM_EPE,742
PNM_PSCO,0
PNM_SRP,0
PNM_TEPC,805
PNM_WACM,828
PSCO_PNM,205
PSCO_WACM,1135
PSEI_BPAT,0
PSEI_CHPD,361
PSEI_GCPD,408
PSEI_SCL,357
PSEI_TPWR,50
SCL_BPAT,995
SCL_PSEI,289
SRP_AZPS,5007
SRP_CISO,2736
SRP_PNM,29
SRP_TEPC,2275
SRP_WALC,2160
TEPC_AZPS,86
TEPC_EPE,665
TEPC_PNM,434
TEPC_SRP,817
TEPC_WALC,95
TIDC_BANC,639
TIDC_CISO,407
TPWR_BPAT,235
TPWR_PSEI,117
WACM_AZPS,965
WACM_PACE,1370
WACM_PNM,1902
WACM_PSCO,5257
WACM_WALC,769
WACM_WAUW,144
WALC_AZPS,395
WALC_CISO,930
WALC_IID,118
WALC_LDWP,2652
WALC_NEVP,1351
WALC_SRP,1096
WALC_TEPC,424
WALC_WACM,85
WAUW_NWMT,212
WAUW_WACM,219
