Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,7727.388191613513,4691.16849457,4000.0192703307903,11008.988627555254,2280.6178473639006,10076.564909722798,17797.851135247198,12.1400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6390.330280044142,0.0,0.0,8.2,2284.7680267127803,5183.248925253601,159.71065520939996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
2,7386.225647565592,5183.64757473,4285.07802118896,10461.368569524004,2209.6678473639004,9280.5015520068,16252.202115320397,12.1400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,8.2,2721.9736799362804,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
3,7428.521689180202,5183.64757473,4620.808021188961,10548.980864677653,2280.6178473639,9670.1098851175,15363.302115320399,12.1400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,8.2,2721.9736799362804,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
4,7428.521689180202,4953.64757473,4620.808021188961,10548.980864677653,2280.6178473639,10338.009885117497,15363.302115320399,16.655560449699998,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2878.1436799362805,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
5,7428.521689180202,4953.64757473,4721.31318031557,10063.130864677654,2217.3777473875507,10338.009885117497,15363.302115320399,16.2400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2878.1436799362805,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
6,7428.521689180202,4953.64757473,4721.31318031557,9967.821935937603,2209.6678473639004,9963.1588759758,15199.961431809597,16.2400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2409.6336799362803,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
7,7428.521689180202,4953.64757473,4721.31318031557,9921.458516642853,2217.2358473875506,9963.1588759758,14647.765977452698,12.1400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2409.6336799362803,5150.745507140641,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
8,7386.225647565592,4953.64757473,4721.31318031557,9930.117229427553,2209.6678473639004,9963.1588759758,14647.765977452698,12.1400937844,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2253.46367993628,5703.139360253881,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
9,7386.225647565592,4953.64757473,4721.31318031557,9930.117229427553,2209.6678473639004,10631.058875975797,14647.765977452698,11.3562702533,18.689948656819983,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6070.134966947691,0.0,0.0,12.299999999999999,2565.8036799362803,5703.139360253881,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
10,7386.225647565592,4953.64757473,4721.31318031557,9930.117229427553,2209.6678473639004,10719.726697206497,15464.469395006698,10.4858087161,174.85994865681997,1098.24491467368,0.0,0.0,0.0,0.0,0.0,0.0,6282.984966947691,0.0,0.0,12.299999999999999,2721.9736799362804,5234.481114545041,159.21473684309996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1636.3362465591497
