fromba,toba,max,max1
CPLE,SCEG,166,100000
FPL,SOCO,1575,100000
FPL,JEA,1241,100000
FPL,HST,126,100000
FPL,FPC,2061,100000
FPL,FMPP,880,100000
JEA,SEC,22445,100000
JEA,FPL,53814,100000
FMPP,FPC,1334,100000
FMPP,TEC,196,100000
NSB,FPC,15,100000
CPLE,DUK,3152,100000
FPL,TEC,599,100000
FPL,NSB,95,100000
JEA,FMPP,65517,100000
SCEG,SOCO,140,100000
SCEG,SC,1449,100000
SCEG,DUK,605,100000
SEC,JEA,9999,100000
SEC,FPL,123227,100000
SEC,FPC,11279,100000
CPLE,PJM,2141,100000
SCEG,CPLE,403,100000
ISNE,NYIS,1543,100000
SEC,TEC,3247,100000
TVA,LGEE,986,100000
AECI,TVA,406,100000
CPLE,SC,1135,100000
AEC,MISO,327,100000
TEC,FPC,782,100000
AEC,SOCO,526,100000
PJM,NYIS,4871,100000
LGEE,MISO,1387,100000
SOCO,TVA,2940,100000
TVA,AECI,40,100000
SOCO,FPC,692,100000
SOCO,DUK,781,100000
SPA,SWPP,706,100000
SOCO,MISO,1646,100000
SC,DUK,1106,100000
SC,CPLE,629,100000
SOCO,TAL,294,100000
SOCO,FPL,2622,100000
SOCO,AEC,496,100000
SPA,AECI,1004,100000
MISO,SWPP,5349,100000
MISO,AECI,2282,100000
FPC,SEC,302,100000
SPA,MISO,742,100000
SC,SCEG,412,100000
AECI,MISO,1471,100000
TAL,FPC,247,100000
TEC,FMPP,758,100000
FMPP,JEA,76,100000
AECI,SWPP,1088,100000
SWPP,AECI,1451,100000
FPC,FMPP,153,100000
FPC,TAL,52,100000
NYIS,PJM,853,100000
NYIS,ISNE,1900,100000
SWPP,MISO,3547,100000
SWPP,SPA,398,100000
MISO,SOCO,652,100000
TVA,SOCO,3084,100000
TVA,PJM,5491,100000
TVA,MISO,3567,100000
TVA,DUK,458,100000
MISO,SPA,162,100000
TEC,FPL,1107,100000
MISO,LGEE,1372,100000
MISO,AEC,178,100000
FPC,TEC,1512,100000
FPC,NSB,67,100000
TEC,SEC,532,100000
SC,SOCO,467,100000
HST,FPL,0,100000
PJM,LGEE,2260,100000
MISO,TVA,5863,100000
MISO,PJM,944,100000
FPC,SOCO,219,100000
FPC,FPL,324,100000
PJM,CPLE,9149,100000
FMPP,FPL,272,100000
LGEE,TVA,431,100000
AECI,SPA,363,100000
DUK,TVA,245,100000
DUK,SOCO,2124,100000
DUK,SC,226,100000
DUK,PJM,1400,100000
PJM,MISO,20452,100000
TAL,SOCO,66,100000
LGEE,PJM,1337,100000
DUK,SCEG,408,100000
NSB,FPL,17,100000
DUK,CPLE,2879,100000
PJM,TVA,4029,100000
PJM,DUK,2796,100000
